Source_Group,Outer_Fold,Rows_UTS,Included_UTS,Rows_YS,Included_YS,Rows_EL,Included_EL,Rows_MTL,Included_MTL,Rows_Matched,Included_Matched
AGEDSRC_007,4,1,True,1,True,1,True,1,True,1,True
AGEDSRC_008,2,4,True,5,True,4,True,5,True,3,True
AGEDSRC_009,3,2,True,2,True,2,True,2,True,2,True
AGEDSRC_010,1,1,True,1,True,1,True,1,True,1,True
AGEDSRC_011,3,4,True,4,True,4,True,4,True,4,True
AGEDSRC_012,0,32,True,32,True,24,True,34,True,21,True
AGEDSRC_013,3,6,True,6,True,6,True,6,True,6,True
AGEDSRC_014,1,31,True,30,True,28,True,32,True,25,True
AGEDSRC_015,4,4,True,4,True,4,True,4,True,4,True
AGEDSRC_016,3,9,True,9,True,9,True,9,True,9,True
AGEDSRC_017,4,12,True,13,True,13,True,13,True,12,True
AGEDSRC_018,2,3,True,0,False,2,True,3,True,0,False
AGEDSRC_019,4,7,True,7,True,6,True,7,True,6,True
AGEDSRC_020,4,3,True,4,True,4,True,4,True,3,True
AGEDSRC_021,3,2,True,1,True,2,True,2,True,1,True
AGEDSRC_022,2,1,True,1,True,1,True,1,True,1,True
AGEDSRC_023,1,1,True,1,True,1,True,1,True,1,True
AGEDSRC_024,1,1,True,1,True,1,True,1,True,1,True
AGEDSRC_025,1,6,True,6,True,5,True,6,True,5,True
AGEDSRC_026,3,16,True,16,True,16,True,16,True,16,True
AGEDSRC_027,0,1,True,1,True,1,True,1,True,1,True
AGEDSRC_028,3,2,True,2,True,2,True,2,True,2,True
AGEDSRC_029,2,4,True,4,True,4,True,4,True,4,True
AGEDSRC_030,3,1,True,1,True,1,True,1,True,1,True
HZ2024_THESIS,2,10,True,10,True,8,True,11,True,7,True
SUPPSRC_001,2,2,True,0,False,2,True,2,True,0,False
SUPPSRC_002,1,1,True,0,False,1,True,1,True,0,False
SUPPSRC_003,4,5,True,0,False,5,True,5,True,0,False
SUPPSRC_004,3,2,True,0,False,2,True,2,True,0,False
SUPPSRC_005,2,3,True,0,False,3,True,3,True,0,False
SUPPSRC_006,1,1,True,0,False,1,True,1,True,0,False
SUPPSRC_007,4,2,True,0,False,2,True,2,True,0,False
SUPPSRC_008,2,2,True,0,False,2,True,2,True,0,False
SUPPSRC_009,3,5,True,0,False,5,True,5,True,0,False
SUPPSRC_010,1,4,True,0,False,4,True,4,True,0,False
SUPPSRC_012,0,1,True,0,False,1,True,1,True,0,False
SUPPSRC_013,2,3,True,0,False,3,True,3,True,0,False
SUPPSRC_014,0,2,True,0,False,2,True,2,True,0,False
SUPPSRC_015,1,2,True,0,False,2,True,2,True,0,False
SUPPSRC_016,3,2,True,0,False,2,True,2,True,0,False
SUPPSRC_017,4,2,True,0,False,2,True,2,True,0,False
SUPPSRC_018,1,2,True,0,False,2,True,2,True,0,False
SUPPSRC_019,1,2,True,0,False,2,True,2,True,0,False
SUPPSRC_021,3,1,True,0,False,1,True,1,True,0,False
SUPPSRC_022,3,3,True,0,False,3,True,3,True,0,False
SUPPSRC_023,3,4,True,0,False,4,True,4,True,0,False
SUPPSRC_024,0,2,True,0,False,2,True,2,True,0,False
SUPPSRC_025,2,1,True,0,False,1,True,1,True,0,False
SUPPSRC_026,1,2,True,0,False,2,True,2,True,0,False
SUPPSRC_027,3,4,True,0,False,4,True,4,True,0,False
SUPPSRC_028,0,1,True,0,False,1,True,1,True,0,False
SUPPSRC_029,1,1,True,0,False,1,True,1,True,0,False
SUPPSRC_030,3,2,True,0,False,2,True,2,True,0,False
SUPPSRC_031,0,1,True,0,False,1,True,1,True,0,False
SUPPSRC_032,3,1,True,0,False,1,True,1,True,0,False
SUPPSRC_033,3,3,True,0,False,3,True,3,True,0,False
SUPPSRC_034,2,4,True,0,False,4,True,4,True,0,False
SUPPSRC_035,3,2,True,0,False,2,True,2,True,0,False
SUPPSRC_036,3,2,True,0,False,1,True,2,True,0,False
SUPPSRC_037,2,1,True,0,False,1,True,1,True,0,False
SUPPSRC_038,0,1,True,0,False,1,True,1,True,0,False
SUPPSRC_039,2,2,True,0,False,2,True,2,True,0,False
SUPPSRC_040,0,2,True,0,False,2,True,2,True,0,False
SUPPSRC_041,4,2,True,0,False,2,True,2,True,0,False
SUPPSRC_042,2,1,True,0,False,1,True,1,True,0,False
SUPPSRC_043,2,2,True,0,False,2,True,2,True,0,False
SUPPSRC_044,3,5,True,0,False,5,True,5,True,0,False
SUPPSRC_045,1,3,True,0,False,3,True,3,True,0,False
SUPPSRC_046,1,12,True,0,False,12,True,12,True,0,False
SUPPSRC_047,4,2,True,0,False,2,True,2,True,0,False
SUPPSRC_048,1,1,True,0,False,1,True,1,True,0,False
SUPPSRC_049,0,2,True,0,False,2,True,2,True,0,False
SUPPSRC_050,1,3,True,0,False,3,True,3,True,0,False
SUPPSRC_051,1,2,True,0,False,2,True,2,True,0,False
SUPPSRC_052,3,3,True,0,False,3,True,3,True,0,False
SUPPSRC_053,4,2,True,0,False,2,True,2,True,0,False
SUPPSRC_054,4,2,True,0,False,2,True,2,True,0,False
SUPPSRC_055,2,2,True,0,False,2,True,2,True,0,False
SUPPSRC_056,2,2,True,0,False,2,True,2,True,0,False
SUPPSRC_057,3,2,True,0,False,2,True,2,True,0,False
SUPPSRC_058,0,2,True,0,False,2,True,2,True,0,False
SUPPSRC_059,0,4,True,0,False,4,True,4,True,0,False
SUPPSRC_060,1,2,True,0,False,2,True,2,True,0,False
SUPPSRC_061,1,2,True,0,False,2,True,2,True,0,False
SUPPSRC_062,0,3,True,0,False,3,True,3,True,0,False
SUPPSRC_063,4,3,True,0,False,3,True,3,True,0,False
SUPPSRC_064,0,12,True,0,False,12,True,12,True,0,False
SUPPSRC_065,1,1,True,0,False,1,True,1,True,0,False
SUPPSRC_066,1,2,True,0,False,2,True,2,True,0,False
SUPPSRC_067,1,4,True,0,False,4,True,4,True,0,False
SUPPSRC_068,4,1,True,0,False,1,True,1,True,0,False
SUPPSRC_069,3,3,True,0,False,3,True,3,True,0,False
SUPPSRC_070,1,4,True,0,False,4,True,4,True,0,False
SUPPSRC_071,4,4,True,0,False,4,True,4,True,0,False
SUPPSRC_072,2,4,True,0,False,4,True,4,True,0,False
SUPPSRC_073,3,2,True,0,False,2,True,2,True,0,False
SUPPSRC_074,3,1,True,0,False,2,True,2,True,0,False
SUPPSRC_075,0,2,True,0,False,2,True,2,True,0,False
SUPPSRC_076,0,3,True,0,False,3,True,3,True,0,False
SUPPSRC_077,4,4,True,0,False,4,True,4,True,0,False
SUPPSRC_078,0,4,True,0,False,4,True,4,True,0,False
SUPPSRC_079,3,3,True,0,False,3,True,3,True,0,False
SUPPSRC_080,1,3,True,0,False,3,True,3,True,0,False
SUPPSRC_081,4,2,True,0,False,1,True,2,True,0,False
SUPPSRC_082,0,2,True,0,False,2,True,2,True,0,False
SUPPSRC_083,2,1,True,0,False,2,True,2,True,0,False
SUPPSRC_084,2,2,True,0,False,2,True,2,True,0,False
SUPPSRC_085,4,1,True,0,False,1,True,1,True,0,False
SUPPSRC_086,0,2,True,0,False,2,True,2,True,0,False
SUPPSRC_087,2,1,True,0,False,1,True,1,True,0,False
SUPPSRC_088,1,1,True,0,False,1,True,1,True,0,False
SUPPSRC_089,1,2,True,0,False,2,True,2,True,0,False
SUPPSRC_090,2,1,True,0,False,1,True,1,True,0,False
SUPPSRC_091,0,3,True,0,False,3,True,3,True,0,False
SUPPSRC_092,2,3,True,0,False,3,True,3,True,0,False
SUPPSRC_093,4,3,True,0,False,3,True,3,True,0,False
SUPPSRC_094,1,5,True,0,False,5,True,5,True,0,False
SUPPSRC_095,4,1,True,0,False,1,True,1,True,0,False
SUPPSRC_096,4,6,True,0,False,6,True,6,True,0,False
SUPPSRC_097,2,1,True,0,False,1,True,1,True,0,False
SUPPSRC_098,4,1,True,0,False,1,True,1,True,0,False
SUPPSRC_099,2,1,True,0,False,1,True,1,True,0,False
SUPPSRC_100,1,1,True,0,False,1,True,1,True,0,False
SUPPSRC_101,4,1,True,0,False,1,True,1,True,0,False
SUPPSRC_102,4,1,True,0,False,1,True,1,True,0,False
SUPPSRC_103,2,1,True,0,False,1,True,1,True,0,False
SUPPSRC_104,4,3,True,0,False,3,True,3,True,0,False
SUPPSRC_105,0,3,True,0,False,3,True,3,True,0,False
Tamura2020,2,21,True,21,True,18,True,21,True,18,True
