mode,scheme,Source_Group,Outer_Fold
strict,MAIN_5FOLD,SUPPSRC_051,1
strict,MAIN_5FOLD,SUPPSRC_060,1
strict,MAIN_5FOLD,SUPPSRC_061,1
strict,MAIN_5FOLD,SUPPSRC_065,1
strict,MAIN_5FOLD,SUPPSRC_066,1
strict,MAIN_5FOLD,SUPPSRC_067,1
strict,MAIN_5FOLD,SUPPSRC_070,1
strict,MAIN_5FOLD,SUPPSRC_080,1
strict,MAIN_5FOLD,SUPPSRC_088,1
strict,MAIN_5FOLD,SUPPSRC_089,1
strict,MAIN_5FOLD,SUPPSRC_094,1
strict,MAIN_5FOLD,SUPPSRC_100,1
strict,MAIN_5FOLD,10.1007/s10853-010-4313-y,2
strict,MAIN_5FOLD,10.1007/s11661-021-06279-5,2
strict,MAIN_5FOLD,10.1007/s11665-025-11325-z,2
strict,MAIN_5FOLD,10.1007/s12540-023-01610-8,2
strict,MAIN_5FOLD,10.1007/s12613-019-1894-6,2
strict,MAIN_5FOLD,10.1016/j.actamat.2013.09.042,2
strict,MAIN_5FOLD,10.1016/j.jmrt.2023.03.041,2
strict,MAIN_5FOLD,10.1016/j.mtcomm.2025.113970,2
strict,MAIN_5FOLD,ACTASRC_002,2
strict,MAIN_5FOLD,ACTASRC_014,2
strict,MAIN_5FOLD,ACTASRC_015,2
strict,MAIN_5FOLD,ACTASRC_016,2
strict,MAIN_5FOLD,ACTASRC_046,2
strict,MAIN_5FOLD,ACTASRC_047,2
strict,MAIN_5FOLD,ACTASRC_053,2
strict,MAIN_5FOLD,ACTASRC_065,2
strict,MAIN_5FOLD,ACTASRC_068,2
strict,MAIN_5FOLD,ACTASRC_070,2
strict,MAIN_5FOLD,ACTASRC_074,2
strict,MAIN_5FOLD,ACTASRC_075,2
strict,MAIN_5FOLD,ACTASRC_093,2
strict,MAIN_5FOLD,ACTASRC_098,2
strict,MAIN_5FOLD,ACTASRC_105,2
strict,MAIN_5FOLD,ACTASRC_133,2
strict,MAIN_5FOLD,ACTASRC_151,2
strict,MAIN_5FOLD,ACTASRC_156,2
strict,MAIN_5FOLD,ACTASRC_184,2
strict,MAIN_5FOLD,ACTASRC_188,2
strict,MAIN_5FOLD,AGEDSRC_008,2
strict,MAIN_5FOLD,AGEDSRC_018,2
strict,MAIN_5FOLD,AGEDSRC_022,2
strict,MAIN_5FOLD,AGEDSRC_029,2
strict,MAIN_5FOLD,HZ2024_THESIS,2
strict,MAIN_5FOLD,SUPPSRC_001,2
strict,MAIN_5FOLD,SUPPSRC_005,2
strict,MAIN_5FOLD,SUPPSRC_008,2
strict,MAIN_5FOLD,SUPPSRC_013,2
strict,MAIN_5FOLD,SUPPSRC_025,2
strict,MAIN_5FOLD,SUPPSRC_034,2
strict,MAIN_5FOLD,SUPPSRC_037,2
strict,MAIN_5FOLD,SUPPSRC_039,2
strict,MAIN_5FOLD,SUPPSRC_042,2
strict,MAIN_5FOLD,SUPPSRC_043,2
strict,MAIN_5FOLD,SUPPSRC_055,2
strict,MAIN_5FOLD,SUPPSRC_056,2
strict,MAIN_5FOLD,SUPPSRC_072,2
strict,MAIN_5FOLD,SUPPSRC_083,2
strict,MAIN_5FOLD,SUPPSRC_084,2
strict,MAIN_5FOLD,SUPPSRC_087,2
strict,MAIN_5FOLD,SUPPSRC_090,2
strict,MAIN_5FOLD,SUPPSRC_092,2
strict,MAIN_5FOLD,SUPPSRC_097,2
strict,MAIN_5FOLD,SUPPSRC_099,2
strict,MAIN_5FOLD,SUPPSRC_103,2
strict,MAIN_5FOLD,Tamura2020,2
strict,MAIN_5FOLD,10.1016/j.jmatprotec.2018.06.022,3
strict,MAIN_5FOLD,10.1016/j.jmrt.2022.06.015,3
strict,MAIN_5FOLD,10.1016/j.matdes.2015.05.074,3
strict,MAIN_5FOLD,10.1016/j.msea.2011.11.031,3
strict,MAIN_5FOLD,10.3390/ma17010092,3
strict,MAIN_5FOLD,ACTASRC_004,3
strict,MAIN_5FOLD,ACTASRC_005,3
strict,MAIN_5FOLD,ACTASRC_018,3
strict,MAIN_5FOLD,ACTASRC_025,3
strict,MAIN_5FOLD,ACTASRC_035,3
strict,MAIN_5FOLD,ACTASRC_049,3
strict,MAIN_5FOLD,ACTASRC_051,3
strict,MAIN_5FOLD,ACTASRC_052,3
strict,MAIN_5FOLD,ACTASRC_054,3
strict,MAIN_5FOLD,ACTASRC_056,3
strict,MAIN_5FOLD,ACTASRC_057,3
strict,MAIN_5FOLD,ACTASRC_063,3
strict,MAIN_5FOLD,ACTASRC_073,3
strict,MAIN_5FOLD,ACTASRC_091,3
strict,MAIN_5FOLD,ACTASRC_101,3
strict,MAIN_5FOLD,ACTASRC_125,3
strict,MAIN_5FOLD,ACTASRC_126,3
strict,MAIN_5FOLD,ACTASRC_127,3
strict,MAIN_5FOLD,ACTASRC_137,3
strict,MAIN_5FOLD,ACTASRC_149,3
strict,MAIN_5FOLD,ACTASRC_150,3
strict,MAIN_5FOLD,ACTASRC_170,3
strict,MAIN_5FOLD,ACTASRC_175,3
strict,MAIN_5FOLD,ACTASRC_189,3
strict,MAIN_5FOLD,AGEDSRC_009,3
strict,MAIN_5FOLD,AGEDSRC_011,3
strict,MAIN_5FOLD,AGEDSRC_013,3
strict,MAIN_5FOLD,AGEDSRC_016,3
strict,MAIN_5FOLD,AGEDSRC_021,3
strict,MAIN_5FOLD,AGEDSRC_026,3
strict,MAIN_5FOLD,AGEDSRC_028,3
strict,MAIN_5FOLD,AGEDSRC_030,3
strict,MAIN_5FOLD,SUPPSRC_004,3
strict,MAIN_5FOLD,SUPPSRC_009,3
strict,MAIN_5FOLD,SUPPSRC_016,3
strict,MAIN_5FOLD,SUPPSRC_021,3
strict,MAIN_5FOLD,SUPPSRC_022,3
strict,MAIN_5FOLD,SUPPSRC_023,3
strict,MAIN_5FOLD,SUPPSRC_027,3
strict,MAIN_5FOLD,SUPPSRC_030,3
strict,MAIN_5FOLD,SUPPSRC_032,3
strict,MAIN_5FOLD,SUPPSRC_033,3
strict,MAIN_5FOLD,SUPPSRC_035,3
strict,MAIN_5FOLD,SUPPSRC_036,3
strict,MAIN_5FOLD,SUPPSRC_044,3
strict,MAIN_5FOLD,SUPPSRC_052,3
strict,MAIN_5FOLD,SUPPSRC_057,3
strict,MAIN_5FOLD,SUPPSRC_069,3
strict,MAIN_5FOLD,SUPPSRC_073,3
strict,MAIN_5FOLD,SUPPSRC_074,3
strict,MAIN_5FOLD,SUPPSRC_079,3
strict,MAIN_5FOLD,10.1007/s11661-014-2235-z,4
strict,MAIN_5FOLD,10.1007/s40192-024-00374-2,4
strict,MAIN_5FOLD,10.1016/j.msea.2007.07.048,4
strict,MAIN_5FOLD,10.1016/j.msea.2012.07.016,4
strict,MAIN_5FOLD,10.1016/s0043-1648(03)00373-9,4
strict,MAIN_5FOLD,10.1088/2053-1591/ab8492,4
strict,MAIN_5FOLD,ACTASRC_003,4
strict,MAIN_5FOLD,ACTASRC_027,4
strict,MAIN_5FOLD,ACTASRC_028,4
strict,MAIN_5FOLD,ACTASRC_039,4
strict,MAIN_5FOLD,ACTASRC_040,4
strict,MAIN_5FOLD,ACTASRC_066,4
strict,MAIN_5FOLD,ACTASRC_067,4
strict,MAIN_5FOLD,ACTASRC_071,4
strict,MAIN_5FOLD,ACTASRC_076,4
strict,MAIN_5FOLD,ACTASRC_080,4
strict,MAIN_5FOLD,ACTASRC_082,4
strict,MAIN_5FOLD,ACTASRC_089,4
strict,MAIN_5FOLD,ACTASRC_100,4
strict,MAIN_5FOLD,ACTASRC_109,4
strict,MAIN_5FOLD,ACTASRC_112,4
strict,MAIN_5FOLD,ACTASRC_129,4
strict,MAIN_5FOLD,ACTASRC_161,4
strict,MAIN_5FOLD,ACTASRC_173,4
strict,MAIN_5FOLD,ACTASRC_174,4
strict,MAIN_5FOLD,ACTASRC_183,4
strict,MAIN_5FOLD,AGEDSRC_001,4
strict,MAIN_5FOLD,AGEDSRC_002,4
strict,MAIN_5FOLD,AGEDSRC_006,4
strict,MAIN_5FOLD,AGEDSRC_007,4
strict,MAIN_5FOLD,AGEDSRC_015,4
strict,MAIN_5FOLD,AGEDSRC_017,4
strict,MAIN_5FOLD,AGEDSRC_019,4
strict,MAIN_5FOLD,AGEDSRC_020,4
strict,MAIN_5FOLD,SUPPSRC_003,4
strict,MAIN_5FOLD,SUPPSRC_007,4
strict,MAIN_5FOLD,SUPPSRC_017,4
strict,MAIN_5FOLD,SUPPSRC_041,4
strict,MAIN_5FOLD,SUPPSRC_047,4
strict,MAIN_5FOLD,SUPPSRC_053,4
strict,MAIN_5FOLD,SUPPSRC_054,4
strict,MAIN_5FOLD,SUPPSRC_063,4
strict,MAIN_5FOLD,SUPPSRC_068,4
strict,MAIN_5FOLD,SUPPSRC_071,4
strict,MAIN_5FOLD,SUPPSRC_077,4
strict,MAIN_5FOLD,SUPPSRC_081,4
strict,MAIN_5FOLD,SUPPSRC_085,4
strict,MAIN_5FOLD,SUPPSRC_093,4
strict,MAIN_5FOLD,SUPPSRC_095,4
strict,MAIN_5FOLD,SUPPSRC_096,4
strict,MAIN_5FOLD,SUPPSRC_098,4
strict,MAIN_5FOLD,SUPPSRC_101,4
strict,MAIN_5FOLD,SUPPSRC_102,4
strict,MAIN_5FOLD,SUPPSRC_104,4
